age,income,loan_amount,emp_length,home_ownership,purpose,credit_history_length,historical_default,default
45,148891.79356885626,9860.711176246721,0,OWN,DEBT_CONSOLIDATION,7,0,0
63,27997.213411100558,13972.894554768685,6,RENT,DEBT_CONSOLIDATION,18,1,1
53,134777.81498786996,7572.828001404004,13,RENT,DEBT_CONSOLIDATION,8,0,0
29,87090.27265767017,31072.653950819677,10,MORTGAGE,HOME_IMPROVEMENT,6,0,0
55,137846.7835277954,42591.239130618014,0,RENT,DEBT_CONSOLIDATION,7,0,1
33,94271.46244954463,13565.625358601596,0,RENT,VENTURE,10,0,0
50,106074.5613138534,22442.48413755317,10,OWN,MEDICAL,11,0,0
34,90691.2580396619,29276.608807581782,15,MORTGAGE,DEBT_CONSOLIDATION,13,0,0
27,132384.0744399553,44977.04867327212,3,RENT,HOME_IMPROVEMENT,9,0,1
33,115408.28946398123,6506.746794895601,4,OWN,DEBT_CONSOLIDATION,7,0,0
42,87763.84058345394,23438.544378745493,2,OWN,EDUCATION,9,0,1
59,132860.90452670108,18560.165155807503,13,MORTGAGE,HOME_IMPROVEMENT,13,0,0
40,51887.11919319349,39230.26710456127,6,RENT,DEBT_CONSOLIDATION,3,1,1
35,40454.28576132838,22466.612433501203,2,MORTGAGE,DEBT_CONSOLIDATION,3,0,1
64,40852.01369290937,6772.033557161368,2,MORTGAGE,EDUCATION,1,0,0
37,63421.154236880924,29280.238247323097,13,MORTGAGE,HOME_IMPROVEMENT,2,0,0
43,51029.704069132276,35143.56658534683,0,MORTGAGE,DEBT_CONSOLIDATION,3,0,1
45,140911.745566266,2123.8938216214274,2,MORTGAGE,EDUCATION,15,0,0
44,33758.43219771592,38935.13747308707,4,RENT,HOME_IMPROVEMENT,6,0,1
64,110868.7959451464,9998.989000243622,0,MORTGAGE,VENTURE,13,0,0
60,44598.80017205076,25738.982680095247,0,RENT,DEBT_CONSOLIDATION,1,0,1
48,134612.8272601455,19879.292529560356,10,MORTGAGE,VENTURE,19,0,0
34,144970.98746403796,32945.11411425281,13,MORTGAGE,EDUCATION,1,0,0
64,80511.10114009786,17959.949435786897,10,RENT,DEBT_CONSOLIDATION,2,0,0
20,134279.29242965713,39399.81659731356,2,MORTGAGE,EDUCATION,2,0,0
44,20668.87219811292,33411.34352122798,4,RENT,HOME_IMPROVEMENT,14,0,1
26,126593.09926305301,29851.666355705624,8,RENT,MEDICAL,8,0,1
28,49721.270998240056,36238.34560920273,2,MORTGAGE,DEBT_CONSOLIDATION,10,0,1
43,138131.17020501784,34422.99050192044,6,RENT,EDUCATION,15,0,0
20,20145.61449241423,3545.3630216267934,2,MORTGAGE,DEBT_CONSOLIDATION,2,0,0
63,92303.62555516842,18973.57721532761,1,RENT,MEDICAL,9,0,1
27,118362.6544920415,42024.71378460906,2,MORTGAGE,DEBT_CONSOLIDATION,5,0,1
43,53629.48299072804,7406.143566665727,3,MORTGAGE,MEDICAL,2,0,0
30,45107.2723963481,33695.151668578204,0,MORTGAGE,MEDICAL,6,0,1
36,30932.769180838004,43907.44788741918,0,MORTGAGE,DEBT_CONSOLIDATION,18,0,1
27,62436.36494542808,4244.54104893378,9,OWN,VENTURE,9,0,0
54,92779.76060014783,31334.33686694425,22,RENT,MEDICAL,9,0,0
54,35059.70138143349,22130.628075944307,3,RENT,DEBT_CONSOLIDATION,6,0,1
52,68970.39705828384,26904.53598111305,0,MORTGAGE,HOME_IMPROVEMENT,14,0,0
24,21179.412604854246,5669.677468825968,0,RENT,HOME_IMPROVEMENT,6,0,0
61,126428.32466497943,3849.2989302783976,13,OWN,DEBT_CONSOLIDATION,11,0,0
58,36698.333352114874,30675.26640368963,3,RENT,DEBT_CONSOLIDATION,12,0,1
60,56834.583274525605,37402.30548229087,2,MORTGAGE,DEBT_CONSOLIDATION,19,0,1
47,22395.60343596827,35626.65940211759,3,MORTGAGE,DEBT_CONSOLIDATION,19,1,1
26,76191.30190602661,25383.646298248208,2,RENT,HOME_IMPROVEMENT,8,1,0
28,129215.79535635845,6294.2733088556615,4,MORTGAGE,DEBT_CONSOLIDATION,10,0,0
27,70979.65748787555,31585.911084948595,9,RENT,VENTURE,9,0,0
31,43334.65204509834,12401.221992828276,5,MORTGAGE,EDUCATION,13,0,0
53,117980.84842656749,41175.954218997496,7,RENT,DEBT_CONSOLIDATION,12,0,0
52,122544.90764319676,38045.41046046531,2,OWN,EDUCATION,4,0,0
42,42587.95178998368,32503.467584757807,8,OWN,EDUCATION,10,1,1
43,120211.03411032868,42800.376100738606,6,RENT,MEDICAL,17,0,1
56,143148.72547332395,3351.138324984736,0,RENT,DEBT_CONSOLIDATION,4,0,0
54,41629.086301195406,33656.61827761277,5,MORTGAGE,DEBT_CONSOLIDATION,12,0,1
63,120227.95802917762,16200.439511465429,1,RENT,MEDICAL,13,0,0
59,112114.36059834182,40960.8330845137,9,MORTGAGE,MEDICAL,4,1,0
41,81564.6054965615,13467.033456465037,3,MORTGAGE,EDUCATION,10,0,0
46,27529.659872643777,33168.82947054574,28,RENT,VENTURE,3,0,1
54,29710.274308521024,39738.8218449836,0,MORTGAGE,DEBT_CONSOLIDATION,15,0,1
20,130813.9056958242,3791.243190455344,2,MORTGAGE,HOME_IMPROVEMENT,2,0,0
54,148719.2884575841,19098.845922457553,6,OWN,DEBT_CONSOLIDATION,17,0,0
56,107886.79343427808,34779.28837694336,8,OWN,DEBT_CONSOLIDATION,6,0,0
33,77974.57991134179,21561.512248826246,2,RENT,VENTURE,8,0,1
22,104184.57364224798,13491.863081124598,4,RENT,DEBT_CONSOLIDATION,3,0,0
20,97271.4616997109,11451.629999397172,2,OWN,HOME_IMPROVEMENT,2,0,0
24,69869.59385273083,7655.28547740425,1,OWN,MEDICAL,1,0,0
45,28531.39879462168,38856.57107382014,1,RENT,DEBT_CONSOLIDATION,16,0,1
33,126796.68316296733,26740.282339816906,4,MORTGAGE,MEDICAL,7,0,0
58,68338.35880103419,5284.552634632608,4,MORTGAGE,MEDICAL,3,1,0
46,126442.13363642218,18450.953913537323,1,RENT,HOME_IMPROVEMENT,4,1,1
28,52826.13745948969,17812.546984619723,2,MORTGAGE,DEBT_CONSOLIDATION,9,0,0
34,20133.83237993234,9814.785200506907,1,RENT,DEBT_CONSOLIDATION,5,0,0
34,40661.976825978345,20726.8278953042,8,OWN,HOME_IMPROVEMENT,16,0,0
45,80910.12417991596,16280.272711904867,6,RENT,DEBT_CONSOLIDATION,15,0,1
61,142759.4725445179,16697.55933616385,10,MORTGAGE,DEBT_CONSOLIDATION,8,0,0
32,33285.17056018347,33778.141984882226,14,RENT,MEDICAL,6,0,1
51,131047.27068000358,11600.32557672344,3,MORTGAGE,DEBT_CONSOLIDATION,18,0,0
58,88513.13250754208,29599.97823078028,0,MORTGAGE,EDUCATION,19,0,1
51,127369.69955398656,26537.9338268802,0,RENT,DEBT_CONSOLIDATION,15,0,1
23,58788.67602869904,26427.978030528295,2,MORTGAGE,HOME_IMPROVEMENT,5,0,1
49,129193.13140742134,30509.315884096366,16,MORTGAGE,MEDICAL,10,0,0
56,120466.96140218458,25580.42755641312,4,RENT,DEBT_CONSOLIDATION,6,0,0
42,49906.978794086404,39807.96993839454,1,MORTGAGE,DEBT_CONSOLIDATION,14,1,1
58,37073.56643321915,31049.943953861173,3,RENT,EDUCATION,17,0,1
64,132847.06192919807,25519.41980896969,5,MORTGAGE,EDUCATION,9,1,1
34,145220.76494721713,37679.81417236873,6,MORTGAGE,EDUCATION,16,0,0
62,24069.30078717711,28064.30229213963,1,MORTGAGE,DEBT_CONSOLIDATION,5,0,1
48,115065.10870657912,14519.202654762697,22,RENT,DEBT_CONSOLIDATION,7,0,0
55,138238.1864232164,10905.081481592562,4,MORTGAGE,MEDICAL,19,0,0
32,131456.81197202482,8550.094783495188,0,MORTGAGE,MEDICAL,7,0,0
51,145387.66139512713,40676.57413948237,13,MORTGAGE,HOME_IMPROVEMENT,2,0,0
26,118812.23019695263,32535.82356731683,0,MORTGAGE,VENTURE,8,0,1
41,77498.83910951833,42307.272841065795,14,MORTGAGE,HOME_IMPROVEMENT,13,0,1
47,60553.75876436696,27941.54764574255,29,RENT,HOME_IMPROVEMENT,8,0,0
21,61696.556256956566,22356.23790428124,3,RENT,DEBT_CONSOLIDATION,3,1,1
61,114174.9474398352,4567.809025748241,8,RENT,HOME_IMPROVEMENT,6,0,0
64,116958.81156402537,30880.61810647928,2,RENT,HOME_IMPROVEMENT,9,0,0
25,46046.68866133265,27034.97667003394,7,RENT,DEBT_CONSOLIDATION,4,0,1
47,132855.96575376904,44578.98242426772,4,RENT,HOME_IMPROVEMENT,11,1,1
47,112940.12522629219,12283.82744463645,7,RENT,VENTURE,5,1,1
63,93157.53722463975,24821.706277333942,15,RENT,EDUCATION,17,0,0
63,81299.21981332665,29991.165410077123,22,RENT,EDUCATION,7,0,0
39,90620.26475269455,29717.420513920777,10,RENT,MEDICAL,15,0,1
49,40701.945976304385,26135.622346781318,2,RENT,DEBT_CONSOLIDATION,15,1,1
30,46481.162405915646,35407.90444407069,12,MORTGAGE,HOME_IMPROVEMENT,12,0,0
47,31851.38375280492,10814.192009653107,5,MORTGAGE,VENTURE,13,1,1
44,39975.54496094465,33201.96961179988,16,RENT,HOME_IMPROVEMENT,11,0,1
58,78980.17249868675,28648.586571622836,6,MORTGAGE,DEBT_CONSOLIDATION,13,0,1
52,88946.07118467329,40531.22980716665,2,RENT,DEBT_CONSOLIDATION,9,1,0
20,22322.04602218152,38429.360878444015,2,RENT,VENTURE,2,0,1
46,123583.71762232357,15551.32268269979,4,RENT,HOME_IMPROVEMENT,4,0,0
32,58241.836534652124,13878.204973931583,9,MORTGAGE,VENTURE,14,0,0
60,138538.68454478844,44211.092925655255,2,MORTGAGE,HOME_IMPROVEMENT,14,1,0
22,145776.4642697911,24672.40277935603,4,RENT,EDUCATION,4,0,0
58,44109.65370796506,40976.101448320784,2,RENT,VENTURE,11,0,1
25,80072.64779953589,9046.884022560735,7,MORTGAGE,EDUCATION,7,0,0
27,20160.138571635365,29641.213336407494,3,RENT,DEBT_CONSOLIDATION,1,0,1
46,97782.5444659155,36823.98805650521,0,RENT,HOME_IMPROVEMENT,7,0,1
28,98949.83827414726,42737.99573221721,1,MORTGAGE,VENTURE,10,0,1
56,52180.19422843877,16505.62606373201,0,MORTGAGE,DEBT_CONSOLIDATION,9,0,1
52,92593.64743581573,33174.19030673426,4,MORTGAGE,DEBT_CONSOLIDATION,3,0,0
61,49320.21851768561,25168.959388703617,0,MORTGAGE,DEBT_CONSOLIDATION,14,1,0
63,40907.31098016471,4607.043820858133,0,RENT,MEDICAL,15,0,0
43,104697.53068429441,31669.988704284566,16,RENT,DEBT_CONSOLIDATION,2,0,0
34,62370.31031376973,31674.152004227268,12,MORTGAGE,EDUCATION,14,1,1
51,96734.31205513093,42016.09260840109,3,RENT,HOME_IMPROVEMENT,16,0,0
51,76322.07736631524,23384.435185265815,25,MORTGAGE,HOME_IMPROVEMENT,7,0,0
43,147965.6829623775,11900.78959055213,0,OWN,EDUCATION,4,0,0
60,39445.48354678355,3916.2444082932034,5,OWN,DEBT_CONSOLIDATION,18,0,0
31,80397.81756265531,19872.614027493946,5,RENT,HOME_IMPROVEMENT,5,0,1
58,108459.36142671228,14982.418103332579,3,MORTGAGE,VENTURE,6,0,0
21,71420.86090439593,34726.79715902665,3,MORTGAGE,VENTURE,3,0,0
22,146710.9807431897,17233.513888165005,3,MORTGAGE,DEBT_CONSOLIDATION,4,0,0
56,113845.39163050156,42810.06144153829,3,RENT,VENTURE,1,0,0
36,105407.90148338409,43379.33872847472,7,RENT,EDUCATION,4,0,0
21,118417.70478945904,28699.06937936145,0,RENT,VENTURE,1,0,1
21,143844.3229450332,41932.39234163996,1,RENT,HOME_IMPROVEMENT,3,0,0
47,138016.4248880032,34716.73681412332,1,RENT,HOME_IMPROVEMENT,18,0,0
42,114157.09005643355,25514.964561930425,1,MORTGAGE,MEDICAL,14,0,0
56,117391.0130831668,9753.241223179459,4,MORTGAGE,VENTURE,11,0,0
51,38969.869624568906,21719.71157109512,0,RENT,HOME_IMPROVEMENT,10,0,1
52,33363.01258404654,26117.601924592556,12,MORTGAGE,DEBT_CONSOLIDATION,17,1,1
20,94217.58523974135,39150.347971605435,2,RENT,DEBT_CONSOLIDATION,2,1,1
38,22387.7928022702,22697.33519103359,1,MORTGAGE,DEBT_CONSOLIDATION,15,0,1
21,82706.32960170691,40600.010925152135,3,OWN,DEBT_CONSOLIDATION,3,0,1
63,47345.445389452914,30997.006098009162,0,OWN,DEBT_CONSOLIDATION,13,0,1
45,64982.153793829144,7890.959711307869,5,MORTGAGE,VENTURE,9,1,1
51,120854.61565308429,44784.198880979,7,RENT,DEBT_CONSOLIDATION,11,0,0
25,142360.87555021024,24671.004412418242,1,RENT,EDUCATION,7,0,0
51,29414.115379024395,18849.906745590393,0,MORTGAGE,DEBT_CONSOLIDATION,6,0,0
23,89451.48677693786,30341.89187218964,2,OWN,DEBT_CONSOLIDATION,1,0,1
30,134729.353156548,6682.41250118468,0,RENT,DEBT_CONSOLIDATION,6,1,1
36,30726.109477254766,29371.16181039424,0,RENT,DEBT_CONSOLIDATION,13,0,1
57,127186.8260965884,23424.148021468736,1,MORTGAGE,VENTURE,5,0,0
43,66514.17562067528,19486.985009939075,2,RENT,VENTURE,15,0,1
24,61872.31128851359,42979.86091069267,4,MORTGAGE,DEBT_CONSOLIDATION,6,0,1
53,147070.63022092215,24469.207819478288,6,MORTGAGE,HOME_IMPROVEMENT,14,0,0
25,46111.68168209824,11422.051617207353,5,RENT,HOME_IMPROVEMENT,7,0,1
41,110115.21230694852,21735.42961322384,0,RENT,VENTURE,5,0,0
30,126787.29464128264,41533.65839662492,1,MORTGAGE,VENTURE,4,0,0
35,25353.85438630532,9572.105267215571,12,MORTGAGE,HOME_IMPROVEMENT,2,0,1
52,107150.10958607358,11200.152663594186,4,OWN,EDUCATION,7,0,0
28,143701.49666619248,2560.271413554601,10,RENT,VENTURE,10,0,0
25,36148.59567464772,2610.1721240179886,2,RENT,DEBT_CONSOLIDATION,7,0,1
35,136508.769349055,37663.83995921604,5,MORTGAGE,HOME_IMPROVEMENT,10,0,0
48,97320.9628590017,33481.2720942471,4,MORTGAGE,MEDICAL,18,0,0
22,100158.59564212163,17266.765427434206,2,RENT,EDUCATION,4,0,1
39,99682.74273252877,32027.37976078563,3,MORTGAGE,HOME_IMPROVEMENT,13,0,1
55,58848.665223850796,18993.854831328717,4,RENT,HOME_IMPROVEMENT,1,0,0
38,141576.23598892975,42974.56222790658,1,RENT,DEBT_CONSOLIDATION,1,0,0
45,143155.560142035,43583.2653013195,2,RENT,HOME_IMPROVEMENT,15,0,0
22,101289.60582781321,18890.132359801766,4,RENT,EDUCATION,1,0,0
38,121844.9543724099,38731.541972657324,14,MORTGAGE,HOME_IMPROVEMENT,6,1,0
39,99593.53816455054,35242.828792991044,2,MORTGAGE,EDUCATION,13,0,1
51,82971.79818462528,15329.997298386941,2,MORTGAGE,VENTURE,1,1,1
26,105906.61537890258,11977.712642747556,1,OWN,DEBT_CONSOLIDATION,5,0,0
60,91890.18883695459,21704.089966891854,6,RENT,HOME_IMPROVEMENT,9,0,0
52,97671.86214215092,35598.000146419465,2,RENT,HOME_IMPROVEMENT,17,0,1
59,121898.23194445205,43287.21474333605,26,RENT,EDUCATION,16,0,0
58,82517.49808836804,34833.89996126262,2,RENT,DEBT_CONSOLIDATION,8,0,1
37,25298.03379202146,38773.90035578991,3,MORTGAGE,EDUCATION,17,0,1
59,41319.93252863464,27931.76516533221,5,MORTGAGE,VENTURE,15,0,1
20,77018.93814363999,37922.536726211416,2,MORTGAGE,HOME_IMPROVEMENT,1,0,0
30,114227.45278362758,35730.09689414696,3,RENT,MEDICAL,12,0,0
47,97126.22428032324,18210.378302830046,3,RENT,MEDICAL,5,0,0
44,104538.24416354901,25735.582991191008,26,MORTGAGE,DEBT_CONSOLIDATION,6,0,1
42,82306.26071491736,36604.38424555688,0,RENT,DEBT_CONSOLIDATION,1,0,1
50,100046.46285249156,3980.439570168124,13,MORTGAGE,MEDICAL,1,0,0
49,62772.26691590608,36747.40914130069,0,OWN,MEDICAL,10,0,1
61,81123.73705056646,9649.189334108007,9,RENT,DEBT_CONSOLIDATION,10,0,0
54,116756.27852734423,24131.395536221877,5,MORTGAGE,DEBT_CONSOLIDATION,3,0,1
26,133338.26126650575,36755.84390090532,2,MORTGAGE,DEBT_CONSOLIDATION,8,0,0
35,76375.19341433056,12914.306360737879,12,RENT,MEDICAL,17,0,0
45,25676.015501956954,12569.719890164579,0,MORTGAGE,DEBT_CONSOLIDATION,11,0,1
21,41017.430739084346,19318.86913387683,1,RENT,HOME_IMPROVEMENT,3,1,1
20,22711.948107899952,40469.64029583828,2,RENT,VENTURE,2,0,1
31,104924.1925008529,2019.039601799939,2,MORTGAGE,DEBT_CONSOLIDATION,9,0,0
24,63200.90129616416,40759.473155603206,5,MORTGAGE,EDUCATION,6,0,1
56,90522.22264351777,8613.702059589134,0,RENT,DEBT_CONSOLIDATION,14,0,0
51,84125.99008189395,44573.71417090173,0,RENT,VENTURE,4,0,1
28,30598.443641815473,43058.420700654126,0,MORTGAGE,DEBT_CONSOLIDATION,10,0,1
60,72423.97694609813,23271.03315242518,1,MORTGAGE,EDUCATION,17,0,0
54,48672.94623990203,24046.97065594301,3,MORTGAGE,EDUCATION,12,1,0
38,74391.97252679485,22706.621631861733,8,RENT,DEBT_CONSOLIDATION,18,0,1
35,46465.176444491546,29324.076763359473,14,OWN,DEBT_CONSOLIDATION,3,0,0
22,129258.81281600136,5901.033196102035,4,RENT,HOME_IMPROVEMENT,4,0,1
39,42645.133755172974,3402.5717786873597,1,MORTGAGE,DEBT_CONSOLIDATION,18,0,0
43,144901.471693307,4481.225921883651,3,RENT,VENTURE,4,0,0
52,74067.9575991023,21107.710017385118,1,MORTGAGE,VENTURE,17,0,0
43,130011.88796247641,13848.561386437786,1,RENT,HOME_IMPROVEMENT,18,0,0
30,101739.42636677287,28747.701181952732,4,MORTGAGE,EDUCATION,5,0,0
27,115595.53882654784,44675.01844311549,0,RENT,EDUCATION,9,0,1
55,119804.10544868144,18611.896442288034,1,RENT,VENTURE,10,0,1
57,85629.83464609232,26675.173926494073,16,MORTGAGE,HOME_IMPROVEMENT,15,0,0
59,90629.0680372275,19870.967524015425,3,MORTGAGE,DEBT_CONSOLIDATION,1,1,0
39,86819.46281513425,38432.68171203995,3,OWN,DEBT_CONSOLIDATION,16,0,1
54,96447.5891517103,40796.16534887624,0,RENT,HOME_IMPROVEMENT,11,0,1
44,23821.27794834595,39726.29132482618,1,MORTGAGE,HOME_IMPROVEMENT,6,0,1
54,71416.97208037198,43898.00626320807,12,MORTGAGE,HOME_IMPROVEMENT,16,0,1
44,98804.5327629523,3183.3249610378575,1,RENT,DEBT_CONSOLIDATION,2,0,0
48,97704.06348326236,38112.09497225783,3,RENT,EDUCATION,1,0,1
37,123084.2922987321,34326.20344068101,0,MORTGAGE,DEBT_CONSOLIDATION,9,0,1
65,105151.21404817411,11833.859604215686,3,OWN,DEBT_CONSOLIDATION,12,1,0
37,148977.3311242874,43121.764015663684,0,MORTGAGE,HOME_IMPROVEMENT,17,0,0
21,56901.08871912385,8371.650913887655,3,MORTGAGE,DEBT_CONSOLIDATION,3,0,0
54,66689.63385661009,31220.64686675806,10,MORTGAGE,HOME_IMPROVEMENT,19,0,0
35,69900.12974281351,11670.279323084236,9,RENT,DEBT_CONSOLIDATION,10,0,1
60,80555.66491263232,20549.36789728521,1,MORTGAGE,HOME_IMPROVEMENT,12,0,0
55,128679.74829155723,32923.875568616466,10,MORTGAGE,HOME_IMPROVEMENT,14,0,1
52,50652.97221469728,26222.959607421006,4,RENT,DEBT_CONSOLIDATION,9,0,0
23,120880.02691460583,20382.578747108804,2,MORTGAGE,DEBT_CONSOLIDATION,5,1,1
52,72690.32380114665,16032.55253007545,5,RENT,VENTURE,3,0,0
33,98241.1998760611,38105.365195477985,0,OWN,HOME_IMPROVEMENT,14,0,1
40,102230.2693194198,8184.01706353699,0,RENT,HOME_IMPROVEMENT,10,0,1
39,68470.32283456148,20494.4236907814,8,RENT,DEBT_CONSOLIDATION,16,0,0
27,86639.97667675467,40861.57558633111,1,RENT,HOME_IMPROVEMENT,7,0,1
26,73694.05270420061,38371.53066977861,5,MORTGAGE,HOME_IMPROVEMENT,4,1,1
22,28987.26220426053,19240.49578634101,2,RENT,HOME_IMPROVEMENT,4,0,1
36,76831.50054618745,34813.65963485626,11,MORTGAGE,EDUCATION,16,0,0
52,32661.141031961783,37395.915720480945,18,MORTGAGE,DEBT_CONSOLIDATION,4,0,1
31,72652.7038804418,40222.15923215608,12,MORTGAGE,DEBT_CONSOLIDATION,13,0,0
41,97079.39197813164,25413.748069116802,1,RENT,VENTURE,13,0,0
41,95323.9369146551,10791.818100352608,1,MORTGAGE,MEDICAL,11,0,0
65,106140.76627108165,12978.290289669061,3,RENT,DEBT_CONSOLIDATION,3,0,0
49,32383.996034101416,14714.870983788982,0,MORTGAGE,HOME_IMPROVEMENT,9,0,1
57,104776.02191895692,27533.506674813467,0,RENT,DEBT_CONSOLIDATION,6,0,1
57,60579.24737053812,3410.813837530163,4,OWN,DEBT_CONSOLIDATION,11,0,0
64,71875.97299782444,29349.826157538635,4,MORTGAGE,DEBT_CONSOLIDATION,16,0,0
27,131538.21300995175,17667.232252413974,9,MORTGAGE,DEBT_CONSOLIDATION,9,0,0
46,21173.952536841534,14695.397507054613,1,MORTGAGE,EDUCATION,5,0,1
46,96493.6423342787,39818.35254130943,1,RENT,HOME_IMPROVEMENT,14,0,1
53,97832.81741301398,21780.103009974355,0,RENT,DEBT_CONSOLIDATION,17,0,0
40,71565.77092466305,6087.28095790579,14,MORTGAGE,DEBT_CONSOLIDATION,3,0,0
49,50813.6214240837,37550.11102512862,9,OWN,VENTURE,4,0,1
